Diffusion_Index,Survey,TimePeriod
-26.24337509346619,14-May,Entire Series
-26.79110277333867,14-Jun,Entire Series
-24.6843364397457,14-Jul,Entire Series
-26.32548166830295,14-Aug,Entire Series
-24.22297273286795,14-Sep,Entire Series
-25.79227941654449,14-Oct,Entire Series
-22.52504053239123,14-Nov,Entire Series
-20.79570652475189,14-Dec,Entire Series
-19.59686624460393,15-Jan,Entire Series
-19.96772580122231,15-Feb,Entire Series
-18.96184864566212,15-Mar,Entire Series
-16.40688365236158,15-Apr,Entire Series
-13.74380881998,15-May,Entire Series
-14.81653864646815,15-Jun,Entire Series
-16.87400289022199,15-Jul,Entire Series
-16.31239245565989,15-Aug,Entire Series
-18.42742902680951,15-Sep,Entire Series
-14.7911983764326,15-Oct,Entire Series
-15.23695694723146,15-Nov,Entire Series
-15.46147242373621,15-Dec,Entire Series
-19.95201333002251,16-Jan,Entire Series
-18.64706085914668,16-Feb,Entire Series
-18.87429466443084,16-Mar,Entire Series
-16.35603027187153,16-Apr,Entire Series
-22.96816871809854,16-May,Entire Series
-17.34243857608273,16-Jun,Entire Series
-20.23353853530089,16-Jul,Entire Series
-19.56289750835745,16-Aug,Entire Series
-20.95357672277281,16-Sep,Entire Series
-20.62359517203593,16-Oct,Entire Series
-19.73847650747767,16-Nov,Entire Series
-19.74339393414266,16-Dec,Entire Series
-17.36846317458189,17-Jan,Entire Series
-20.52969345692465,17-Feb,Entire Series
-19.29831631458982,17-Mar,Entire Series
-17.51919247395532,17-Apr,Entire Series
-21.72485769056746,17-May,Entire Series
-18.43453094521985,17-Jun,Entire Series
-15.68727418894191,17-Jul,Entire Series
-17.5118726580285,17-Aug,Entire Series
-20.97352758544167,17-Sep,Entire Series
-18.23957580786117,17-Oct,Entire Series
-16.7493580493667,17-Nov,Entire Series
-19.02173572063528,17-Dec,Entire Series
-13.21847132159282,18-Jan,Entire Series
-9.163153215340166,18-Feb,Entire Series
-11.69126110668858,18-Mar,Entire Series
-14.37065636531049,18-Apr,Entire Series
-12.21664449240631,18-May,Entire Series
-12.69174272378439,18-Jun,Entire Series
-7.722359978412001,18-Jul,Entire Series
-14.47556676187619,18-Aug,Entire Series
-18.30026225704789,18-Sep,Entire Series
-16.93945954147767,18-Oct,Entire Series
-19.19841812766298,18-Nov,Entire Series
-19.9132984018504,18-Dec,Entire Series
-22,19-Jan,Entire Series
-17.1194352645934,19-Feb,Entire Series
-15.24665242973397,19-Mar,Entire Series
-16.77601391166426,19-Apr,Entire Series
-14.2034109667469,19-May,Entire Series
-14.20541513304333,19-Jun,Entire Series
-16.13750069930511,19-Jul,Entire Series
-15.18121635819794,19-Aug,Entire Series
-16.65791576670387,19-Sep,Entire Series
-17.57827218056367,19-Oct,Entire Series
-10.70513767105396,19-Nov,Entire Series
-12.93591189207834,19-Dec,Entire Series
-15.2352742962729,20-Jan,Entire Series
-13.6403565197597,20-Feb,Entire Series
-16.48405698353165,20-Mar,Entire Series
-53.16697823214056,20-Apr,Entire Series
-49.70606044809116,20-May,Entire Series
-40.36703734920105,20-Jun,Entire Series
-35.97986913944714,20-Jul,Entire Series
-32.72956550647327,20-Aug,Entire Series
-27.573940278,20-Sep,Entire Series
-28.26518816065353,20-Oct,Entire Series
-24.32952156907884,20-Nov,Entire Series
-19.99812513925601,20-Dec,Entire Series
-23.81787890412865,21-Jan,Entire Series
-21.99178841031049,21-Feb,Entire Series
-23.47302577339072,21-Mar,Entire Series
-17.01365947410469,21-Apr,Entire Series
-18.00786380918521,21-May,Entire Series
-18.30102179050744,21-Jun,Entire Series
-17.43744369483558,21-Jul,Entire Series
-22.28313023993472,21-Aug,Entire Series
-20.46808603850841,21-Sep,Entire Series
-20.07769746567517,21-Oct,Entire Series
-15.66482395070864,21-Nov,Entire Series
-16.39466817578705,21-Dec,Entire Series
-15.09083898961737,22-Jan,Entire Series
-21.74556547620938,22-Feb,Entire Series
-24.87300807705595,22-Mar,Entire Series
-24.4335700049997,22-Apr,Entire Series
-22.67103533743301,22-May,Entire Series
-23.0483480388079,22-Jun,Entire Series
-23.3357765419757,22-Jul,Entire Series
-23.1350468031987,22-Aug,Entire Series
-21.4512817961832,22-Sep,Entire Series
-28.61012,22-Oct,Entire Series
-22.4020938030165,22-Nov,Entire Series
-21.898571860117,22-Dec,Entire Series
-24.6507985324436,23-Jan,Entire Series
-25.8677987686114,23-Feb,Entire Series
-25.816794887717,23-Mar,Entire Series
-26.0069613261387,23-Apr,Entire Series
-19.5518900607514,23-May,Entire Series
-25.5221317362055,23-Jun,Entire Series
-24.6326317901775,23-Jul,Entire Series
-29.3458111522549,23-Aug,Entire Series
-28.5171654891329,23-Sep,Entire Series
-23.1250498260173,23-Oct,Entire Series
-26.926699446448,23-Nov,Entire Series
-35.4670239799406,23-Dec,Entire Series
-25.4934609308683,24-Jan,Entire Series
-21.7666254753715,24-Feb,Entire Series
-20.8894729927375,24-Mar,Entire Series
-22.7204860143724,24-Apr,Entire Series
-25.42212177607,24-May,Entire Series
-26.1888778262341,24-Jun,Entire Series
-29.296040940029,24-Jul,Entire Series
-27.9945077022413,24-Aug,Entire Series
-29.1830712326066,24-Sep,Entire Series
-25.5096857308687,24-Oct,Entire Series
-26.5638482119723,24-Nov,Entire Series
-24.4768023038949,24-Dec,Entire Series
-25.9448534599117,25-Jan,Entire Series
-25.5459002075807,25-Feb,Entire Series
-23.7291299913299,25-Mar,Entire Series
-29.9867257431793,25-Apr,Entire Series
-30.6153322150681,25-May,Entire Series
-28.2033787526212,25-Jun,Entire Series
-29.5291348268973,25-Jul,Entire Series
-27.5280642904846,25-Aug,Entire Series
-31.2531108184931,25-Sep,Entire Series
-29.994105813816,25-Oct,Entire Series
-28.1873601404478,25-Nov,Entire Series
-27.0329692285252,25-Dec,Entire Series
-24.08038520812988,26-Jan,Entire Series
-22.73625564575195,26-Feb,Entire Series
-23.65426063537598,26-Mar,Entire Series
-25.64377021789551,26-Apr,Entire Series
